NIRF,COLLEGE,YEAR,BRANCH,CATEGORY,OPENING_RANK,CLOSING_RANK
46,SSN College of Engineering ,2023,Computer science,GENERAL,8,913
46,SSN College of Engineering ,2023,Computer science,OBC,424,778
46,SSN College of Engineering ,2023,Computer science,SC,3521,11570
46,SSN College of Engineering ,2023,Computer science,ST,56297,56297
46,SSN College of Engineering ,2023,Information technology,GENERAL,86,1275
46,SSN College of Engineering ,2023,Information technology,OBC,1059,1519
46,SSN College of Engineering ,2023,Information technology,SC,7641,16508
46,SSN College of Engineering ,2023,Information technology,ST,45213,45213
46,SSN College of Engineering ,2023,Electronics and Communication ,GENERAL,66,1221
46,SSN College of Engineering ,2023,Electronics and Communication ,OBC,1262,1725
46,SSN College of Engineering ,2023,Electronics and Communication ,SC,5586,16432
46,SSN College of Engineering ,2023,Electronics and Communication ,ST,71088,71088
46,SSN College of Engineering ,2023,Electrical and Electronics,GENERAL,1570,5858
46,SSN College of Engineering ,2023,Electrical and Electronics,OBC,2199,2704
46,SSN College of Engineering ,2023,Electrical and Electronics,SC,12339,21176
46,SSN College of Engineering ,2023,Electrical and Electronics,ST,92922,92922
46,SSN College of Engineering ,2023,Mechanical Engineering,GENERAL,3468,13023
46,SSN College of Engineering ,2023,Mechanical Engineering,OBC,5213,7062
46,SSN College of Engineering ,2023,Mechanical Engineering,SC,16377,33177
46,SSN College of Engineering ,2023,Mechanical Engineering,ST,89211,89211
46,SSN College of Engineering ,2023,Biomedical Engineering,GENERAL,3166,10361
46,SSN College of Engineering ,2023,Biomedical Engineering,OBC,7080,8425
46,SSN College of Engineering ,2023,Biomedical Engineering,SC,19555,37388
46,SSN College of Engineering ,2023,Biomedical Engineering,ST,,
46,SSN College of Engineering ,2023,Chemical Engineering,GENERAL,2066,10747
46,SSN College of Engineering ,2023,Chemical Engineering,OBC,8664,12153
46,SSN College of Engineering ,2023,Chemical Engineering,SC,29293,33969
46,SSN College of Engineering ,2023,Chemical Engineering,ST,,
46,SSN College of Engineering ,2023,Civil Engineering,GENERAL,2751,10747
46,SSN College of Engineering ,2023,Civil Engineering,OBC,9934,13599
46,SSN College of Engineering ,2023,Civil Engineering,SC,27781,33852
46,SSN College of Engineering ,2023,Civil Engineering,ST,,
20,"College of Engineering,Gunidy",2023,Computer science ,GENERAL,7,44
20,"College of Engineering,Gunidy",2023,Computer science ,OBC,46,83
20,"College of Engineering,Gunidy",2023,Computer science ,SC,57,1018
20,"College of Engineering,Gunidy",2023,Computer science ,ST,5995,5995
20,"College of Engineering,Gunidy",2023,Information technology,GENERAL,24,525
20,"College of Engineering,Gunidy",2023,Information technology,OBC,537,859
20,"College of Engineering,Gunidy",2023,Information technology,SC,1827,3833
20,"College of Engineering,Gunidy",2023,Information technology,ST,4254,4254
20,"College of Engineering,Gunidy",2023,Electronics and Communication ,GENERAL,1,107
20,"College of Engineering,Gunidy",2023,Electronics and Communication ,OBC,114,319
20,"College of Engineering,Gunidy",2023,Electronics and Communication ,SC,500,1266
20,"College of Engineering,Gunidy",2023,Electronics and Communication ,ST,23107,23107
20,"College of Engineering,Gunidy",2023,Electrical and Electronics,GENERAL,32,1071
20,"College of Engineering,Gunidy",2023,Electrical and Electronics,OBC,1081,1616
20,"College of Engineering,Gunidy",2023,Electrical and Electronics,SC,1304,5223
20,"College of Engineering,Gunidy",2023,Electrical and Electronics,ST,8249,8249
20,"College of Engineering,Gunidy",2023,Mechanical Engineering,GENERAL,1071,2993
20,"College of Engineering,Gunidy",2023,Mechanical Engineering,OBC,3077,4962
20,"College of Engineering,Gunidy",2023,Mechanical Engineering,SC,3872,12487
20,"College of Engineering,Gunidy",2023,Mechanical Engineering,ST,16460,16460
20,"College of Engineering,Gunidy",2023,Biomedical Engineering,GENERAL,494,2729
20,"College of Engineering,Gunidy",2023,Biomedical Engineering,OBC,2986,5854
20,"College of Engineering,Gunidy",2023,Biomedical Engineering,SC,7499,19808
20,"College of Engineering,Gunidy",2023,Biomedical Engineering,ST,,
20,"College of Engineering,Gunidy",2023,Civil Engineering,GENERAL,986,2715
20,"College of Engineering,Gunidy",2023,Civil Engineering,OBC,2899,5419
20,"College of Engineering,Gunidy",2023,Civil Engineering,SC,5387,14532
20,"College of Engineering,Gunidy",2023,Civil Engineering,ST,,
20,"College of Engineering,Gunidy",2023,Industrial Engineering,GENERAL,1033,7668
20,"College of Engineering,Gunidy",2023,Industrial Engineering,OBC,7816,14193
20,"College of Engineering,Gunidy",2023,Industrial Engineering,SC,10244,21747
20,"College of Engineering,Gunidy",2023,Industrial Engineering,ST,,
20,"College of Engineering,Gunidy",2023,Geoinformatics,GENERAL,339,6789
20,"College of Engineering,Gunidy",2023,Geoinformatics,OBC,6905,11621
20,"College of Engineering,Gunidy",2023,Geoinformatics,SC,12893,26353
20,"College of Engineering,Gunidy",2023,Geoinformatics,ST,,
20,"College of Engineering,Gunidy",2023,Mining Engineering,GENERAL,1618,6088
20,"College of Engineering,Gunidy",2023,Mining Engineering,OBC,7055,13457
20,"College of Engineering,Gunidy",2023,Mining Engineering,SC,15228,22211
20,"College of Engineering,Gunidy",2023,Mining Engineering,ST,,
